-0.9741,-0.5889,3
0.9959,-0.7082,2
0.7020,0.7082,3
0.8805,-0.7997,2
-0.1456,-0.2302,3
-0.0444,0.2458,3
-0.5426,0.4300,1
0.4159,-0.0554,0
-0.8899,0.8105,0
-0.3338,-0.4920,3
-0.4773,0.2110,2
-0.4163,0.2138,2
-0.6239,-0.7413,3
-0.7203,0.6047,0
0.7375,-0.7505,2
-0.1485,-0.8727,0
-0.7101,0.4315,1
-0.4310,-0.6385,3
0.9838,-0.2609,2
0.1405,-0.2654,0
-0.0196,-0.8019,0
-0.2059,-0.1676,3
0.8435,-0.9681,2
0.0177,-0.5470,0
-0.0613,0.7979,1
-0.3523,-0.0123,3
0.8496,-0.0452,1
-0.0343,-0.8973,1
0.3333,0.1492,3
0.5540,-0.4952,1
0.0900,0.2196,3
-0.6863,-0.4268,3
-0.7839,0.4414,0
0.5309,0.1751,3
-0.0253,0.8729,1
0.9264,-0.2826,2
0.1489,0.3434,3
-0.1350,0.8539,1
-0.1820,-0.9887,1
-0.5704,-0.7588,3
-0.7687,0.0495,1
0.5003,-0.7561,2
-0.8742,0.6365,0
0.8026,0.1097,0
-0.6035,0.7962,0
-0.5917,0.0114,2
0.3732,-0.2164,0
0.7750,-0.6519,2
0.2205,-0.4142,0
-0.5959,0.9148,0
0.7044,0.7597,3
-0.3252,0.5673,1
0.4160,0.0261,3
-0.3055,0.3321,2
0.7441,0.5106,3
-0.3156,0.4665,2
-0.5725,0.5853,1
-0.7484,0.4300,1
-0.8204,-0.3842,2
0.0492,-0.4678,0
0.9570,0.5627,3
-0.7031,-0.4511,3
0.3960,0.5456,3
-0.2544,0.7111,1
-0.4890,-0.8946,0
0.3234,-0.5186,1
-0.2162,-0.0062,3
-0.1513,0.7487,1
-0.9299,-0.6743,3
-0.4982,0.4274,1
-0.1896,-0.5119,3
0.9916,0.3701,0
-0.5621,-0.2617,3
0.7083,0.7820,3
0.8452,0.9203,3
-0.4913,-0.1021,3
0.2706,0.1644,3
-0.6839,0.7965,0
-0.6843,0.5001,1
0.6516,-0.5058,1
-0.5663,-0.9509,3
0.2762,0.8996,2
-0.6092,0.3074,1
0.9278,-0.5168,2
-0.9844,0.4929,0
-0.6757,-0.1238,2
0.2968,0.4415,3
0.2479,-0.1814,0
-0.2575,0.4009,2
-0.7647,0.1138,1
0.9987,-0.5023,2
-0.7175,0.1674,1
0.0169,-0.8414,1
-0.0065,-0.8936,1
0.8492,0.3326,0
-0.9706,0.7299,0
-0.2490,0.0850,3
-0.8508,-0.2581,2
-0.1563,-0.5485,3
-0.1603,0.6206,2
0.5752,-0.6962,2
0.1043,-0.3589,0
-0.5760,0.4876,1
-0.3036,-0.8439,0
-0.0338,0.2844,3
0.8041,0.2428,0
-0.3058,0.0651,3
-0.0806,0.1002,3
-0.6474,-0.0360,2
-0.6427,0.7863,0
0.4000,-0.9516,2
-0.0443,-0.4738,0
0.0859,-0.9608,1
-0.7013,-0.4558,3
-0.9021,-0.5676,3
-0.5279,0.3117,1
0.8271,0.0824,0
0.8456,-0.0597,1
-0.9553,-0.7249,3
0.4708,-0.7091,1
-0.1291,-0.9691,1
0.9005,-0.3636,2
0.3679,0.5092,3
0.5749,-0.9307,2
-0.2854,0.1007,3
-0.3293,0.9863,0
-0.3557,0.6021,1
-0.0109,-0.8065,0
0.9868,0.2409,0
-0.9021,0.8043,0
-0.1049,-0.8722,0
0.7808,-0.1685,1
0.2301,0.4483,3
0.4924,0.2407,3
-0.7070,-0.8936,3
0.0414,0.5871,2
0.1173,0.0515,3
-0.5203,-0.2850,3
0.3364,-0.8019,1
0.9634,-0.6634,2
0.4660,0.9417,2
0.0465,0.2989,3
-0.8560,-0.6038,3
-0.2170,-0.7240,0
-0.2647,-0.5073,3
-0.4244,0.3136,2
-0.6982,0.0972,2
0.8665,-0.6900,2
-0.8089,-0.2807,2
0.9134,0.4054,0
-0.0040,-0.5722,0
0.1685,-0.1143,3
0.1575,0.4967,3
0.4528,0.3107,3
-0.9473,-0.1469,1
-0.4102,0.2540,2
-0.6108,0.3114,1
0.3576,-0.3110,0
-0.2800,-0.7849,0
0.5031,-0.1263,0
0.5757,0.0940,0
0.6267,-0.7703,2
0.0879,0.8505,2
-0.8573,0.7203,0
0.5388,-0.8861,2
-0.4401,0.3097,2
-0.2481,-0.6693,0
0.0596,-0.0917,3
-0.4257,0.3603,2
-0.4894,0.0398,2
-0.9376,0.6584,0
-0.1594,0.2878,2
0.6297,0.4233,3
0.4225,-0.6685,1
0.6403,-0.3876,1
0.5011,-0.5640,1
0.0220,0.3472,3
0.7432,0.7848,3
-0.3473,-0.9929,0
-0.8462,-0.9232,3
-0.7093,-0.2227,2
-0.2605,-0.7133,0
-0.8445,0.9390,0
0.0327,0.9237,1
-0.8331,-0.3471,2
0.6068,0.7620,3
-0.1174,0.2416,3
0.9808,0.2688,0
-0.3282,-0.9523,0
0.9737,0.9399,3
-0.7621,0.6711,0
-0.0784,0.4945,2
-0.3808,0.8613,0
0.6508,0.2093,0
-0.4807,0.4039,1
0.3718,-0.2407,0
-0.5859,0.6778,0
0.4741,0.0485,0
-0.3045,0.4721,2
-0.9574,-0.7859,3
0.1174,0.7160,2
0.3965,0.3920,3
0.0878,0.4297,3
0.1793,-0.7902,1
-0.4685,0.1471,2
-0.7573,-0.1879,2
-0.4863,0.0974,2
0.9740,0.6605,3
-0.7265,-0.6670,3
-0.6829,0.7261,0
0.8892,0.2772,0
